,NO2,O3,PM10,SO2,WSR,WDV
2023-01-01 01:00:00,0.0301,0.005,265.0,0.002,6.2,298.0
2023-01-01 02:00:00,0.0317,0.005,167.0,0.0021,3.4,295.0
2023-01-01 03:00:00,0.027,0.006,133.0,0.0021,7.1,305.0
2023-01-01 04:00:00,0.0163999999999999,0.01,86.0,0.0022,12.3,303.0
2023-01-01 05:00:00,0.0163,0.01,58.0,0.0021,9.8,286.0
2023-01-01 06:00:00,0.0158,0.011,51.0,0.0021,9.7,298.0
2023-01-01 07:00:00,0.0176,0.011,42.0,0.0023,11.1,293.0
2023-01-01 08:00:00,0.0174,0.011,46.0,0.0022,9.8,288.0
2023-01-01 09:00:00,0.0126,0.016,52.0,0.0027,12.3,289.0
2023-01-01 10:00:00,0.0121999999999999,0.019,65.0,0.0036,10.0,281.0
2023-01-01 11:00:00,0.0113,0.023,57.0,0.0031,12.8,292.0
2023-01-01 12:00:00,0.0101999999999999,0.029,39.0,0.0028,13.4,296.0
2023-01-01 13:00:00,0.0085,0.032,36.0,0.0024,8.5,300.0
2023-01-01 14:00:00,0.0068,0.039,19.0,0.0022,6.5,116.0
2023-01-01 15:00:00,0.0073,0.042,20.0,0.0023,14.1,106.0
2023-01-01 16:00:00,0.0091,0.044,25.0,0.0029,15.1,113.0
2023-01-01 17:00:00,0.0101,0.045,39.0,0.0032,16.5,121.0
2023-01-01 18:00:00,0.0184,0.049,49.0,0.0042,12.4,105.0
2023-01-01 19:00:00,0.0214,0.067,60.0,0.0206,14.4,96.0
2023-01-01 20:00:00,0.0278,0.046,93.0,0.0193999999999999,8.4,128.0
2023-01-01 21:00:00,0.0382,0.033,84.0,0.0107,7.4,166.0
2023-01-01 22:00:00,0.0353,0.02,93.0,0.0064,8.6,172.0
2023-01-01 23:00:00,0.0342,0.011,73.0,0.0039,3.8,163.0
2023-01-02 00:00:00,0.0265,0.012,65.0,0.0031,3.5,41.0
2023-01-02 01:00:00,0.0176,0.015,54.0,0.0028,4.5,69.0
2023-01-02 02:00:00,0.0196,0.012,44.0,0.0026,4.3,10.0
2023-01-02 03:00:00,0.0179,0.012,48.0,0.0025,7.6,294.0
2023-01-02 04:00:00,0.0108,0.023,58.0,0.0026,9.8,298.0
2023-01-02 05:00:00,0.0101999999999999,0.025,47.0,0.0029,14.4,289.0
2023-01-02 06:00:00,0.0081,0.021,52.0,0.0038,15.7,284.0
2023-01-02 07:00:00,0.008,0.019,60.0,0.0033,15.0,293.0
2023-01-02 08:00:00,0.0163,0.013,40.0,0.0032,10.4,275.0
2023-01-02 09:00:00,0.0176,0.012,42.0,0.0032,10.6,286.0
2023-01-02 10:00:00,0.0130999999999999,0.017,59.0,0.0029,9.4,282.0
2023-01-02 11:00:00,0.0078,0.022,56.0,0.0026,15.0,312.0
2023-01-02 12:00:00,0.007,0.024,66.0,0.0023,16.9,303.0
2023-01-02 13:00:00,0.0059,0.026,138.0,0.0022,23.0,295.0
2023-01-02 14:00:00,0.0067,0.026,183.0,0.0023,20.9,283.0
2023-01-02 15:00:00,0.0081,0.025,191.0,0.0023,13.5,261.0
2023-01-02 16:00:00,0.0075,0.023,51.0,0.0021,17.4,298.0
2023-01-02 17:00:00,0.01,0.022,40.0,0.0021,12.7,291.0
2023-01-02 18:00:00,0.0106,0.021,21.0,0.002,13.7,298.0
2023-01-02 19:00:00,0.0256,0.011,21.0,0.0025,6.7,315.0
2023-01-02 20:00:00,0.0446,0.01,42.0,0.0034,8.1,128.0
2023-01-02 21:00:00,0.0499,0.005,100.0,0.0036,5.7,324.0
2023-01-02 22:00:00,0.0477999999999999,0.004,113.0,0.0037,4.1,269.0
2023-01-02 23:00:00,0.0412,0.004,166.0,0.0034,4.8,304.0
2023-01-03 00:00:00,0.0291,0.005,173.0,0.0029,7.6,293.0
2023-01-03 01:00:00,0.0236,0.007,96.0,0.0028,5.9,330.0
2023-01-03 02:00:00,0.015,0.013,49.0,0.0026,8.1,334.0
2023-01-03 03:00:00,0.003,0.024,34.0,0.0023,14.9,306.0
2023-01-03 04:00:00,0.0027,0.024,31.0,0.0021,15.5,310.0
2023-01-03 05:00:00,0.0038,0.024,26.0,0.0022,18.7,311.0
2023-01-03 06:00:00,0.0057,0.023,34.0,0.0022,17.1,306.0
2023-01-03 07:00:00,0.0075,0.022,29.0,0.0022,15.3,307.0
2023-01-03 08:00:00,0.0121999999999999,0.018,15.0,0.0022,11.8,299.0
2023-01-03 09:00:00,0.012,0.018,22.0,0.0023,9.8,274.0
2023-01-03 10:00:00,0.0091,0.024,24.0,0.002,13.2,295.0
2023-01-03 11:00:00,0.0069,0.027,30.0,0.002,14.6,310.0
2023-01-03 12:00:00,0.0067,0.027,21.0,0.0021,13.7,322.0
2023-01-03 13:00:00,0.0130999999999999,0.03,33.0,0.0033,14.8,88.0
2023-01-03 14:00:00,0.0155,0.035,99.0,0.0031,16.4,112.0
2023-01-03 15:00:00,0.0150999999999999,0.039,93.0,0.0032,13.8,120.0
2023-01-03 16:00:00,0.0177,0.043,73.0,0.0031,12.8,113.0
2023-01-03 17:00:00,0.0198,0.047,65.0,0.0033,14.4,114.0
2023-01-03 18:00:00,0.0248,0.041,75.0,0.0037,11.6,115.0
2023-01-03 19:00:00,0.0325,0.029,72.0,0.0053,8.1,121.0
2023-01-03 20:00:00,0.0236,0.023,86.0,0.0132,11.6,136.0
2023-01-03 21:00:00,0.0291,0.015,77.0,0.0092,7.5,133.0
2023-01-03 22:00:00,0.0412,0.005,69.0,0.0078,6.4,193.0
2023-01-03 23:00:00,0.0386,0.004,101.0,0.0056,4.4,109.0
2023-01-04 00:00:00,0.0402999999999999,0.004,87.0,0.0043,2.7,51.0
2023-01-04 01:00:00,0.0324,0.005,88.0,0.0032,3.1,39.0
2023-01-04 02:00:00,0.029,0.005,61.0,0.003,2.8,22.0
2023-01-04 03:00:00,0.031,0.003,63.0,0.0028,4.0,310.0
2023-01-04 04:00:00,0.0305,0.004,92.0,0.0031,5.1,292.0
2023-01-04 05:00:00,0.0313,0.003,79.0,0.0032,6.3,301.0
2023-01-04 06:00:00,0.0357,0.003,61.0,0.0035,5.7,306.0
2023-01-04 07:00:00,0.0345,0.003,76.0,0.0033,5.1,293.0
2023-01-04 08:00:00,0.0335,0.004,71.0,0.0036,6.5,309.0
2023-01-04 09:00:00,0.033,0.005,94.0,0.0055,5.4,283.0
2023-01-04 10:00:00,0.0298,0.011,97.0,0.0109,3.7,59.0
2023-01-04 11:00:00,0.0207,0.023,109.0,0.0079,5.7,98.0
2023-01-04 12:00:00,0.0121,0.034,71.0,0.0043,9.8,108.0
2023-01-04 13:00:00,0.0189,0.039,47.0,0.0048,11.6,102.0
2023-01-04 14:00:00,0.0208,0.047,58.0,0.0052,12.7,106.0
2023-01-04 15:00:00,0.0181,0.055,67.0,0.0076,14.9,115.0
2023-01-04 16:00:00,0.0169,0.057,78.0,0.0070999999999999,15.0,105.0
2023-01-04 17:00:00,0.0178,0.071,78.0,0.0106,14.7,111.0
2023-01-04 18:00:00,0.0251,0.061,83.0,0.0134,12.8,111.0
2023-01-04 19:00:00,0.0336,0.036,73.0,0.0077,9.5,113.0
2023-01-04 20:00:00,0.0506,0.013,88.0,0.0054,5.9,128.0
2023-01-04 21:00:00,0.0547999999999999,0.005,98.0,0.0044,3.4,42.0
2023-01-04 22:00:00,0.0448,0.01,114.0,0.004,3.6,10.0
2023-01-04 23:00:00,0.0472999999999999,0.007,70.0,0.0037,3.0,188.0
2023-01-05 00:00:00,0.0281,0.018,125.0,0.0034,9.2,143.0
2023-01-05 01:00:00,0.0324,0.013,114.0,0.0034,6.5,172.0
2023-01-05 02:00:00,0.0296,0.012,97.0,0.0031,4.1,332.0
2023-01-05 03:00:00,0.0259,0.011,95.0,0.0028,4.1,296.0
2023-01-05 04:00:00,0.0368999999999999,0.006,102.0,0.0027,9.0,300.0
2023-01-05 05:00:00,0.0368999999999999,0.005,62.0,0.0027,6.6,287.0
2023-01-05 06:00:00,0.0376,0.004,60.0,0.0029,3.9,293.0
2023-01-05 07:00:00,0.0397999999999999,0.003,96.0,0.0028,3.8,305.0
