,NO,NO2,O3,PM10,PM2.5,WSR,WDV
2023-01-01 02:00:00,4.3,23.2,11.0,103.0,81.23,3.4,3.0
2023-01-01 03:00:00,3.8,20.9,11.0,83.0,49.83,2.6,315.0
2023-01-01 04:00:00,4.6,20.7,9.0,65.0,40.19,3.9,270.0
2023-01-01 05:00:00,19.8,30.6,4.0,67.0,74.16,3.4,242.0
2023-01-01 06:00:00,7.0,23.7,7.0,147.0,108.13,3.4,307.0
2023-01-01 07:00:00,3.8,13.6,16.0,84.0,35.0,7.1,232.0
2023-01-01 08:00:00,3.7,12.3,19.0,43.0,13.23,6.3,222.0
2023-01-01 09:00:00,6.5,14.9,19.0,36.0,12.31,3.5,18.0
2023-01-01 10:00:00,6.2,12.4,25.0,41.0,13.05,4.1,294.0
2023-01-01 11:00:00,5.2,9.5,28.0,44.0,9.3,4.5,94.0
2023-01-01 12:00:00,5.0,9.1,34.0,33.0,7.84,4.3,26.0
2023-01-01 13:00:00,9.1,20.9,33.0,41.0,11.74,5.2,58.0
2023-01-01 14:00:00,6.4,19.7,47.0,48.0,20.56,7.8,86.0
2023-01-01 15:00:00,3.6,8.1,54.0,55.0,13.01,8.7,70.0
2023-01-01 16:00:00,3.5,7.5,50.0,32.0,10.25,10.8,71.0
2023-01-01 17:00:00,3.2,9.6,60.0,37.0,14.61,11.6,84.0
2023-01-01 18:00:00,3.2,16.5,68.0,55.0,29.78,7.9,73.0
2023-01-01 19:00:00,3.2,17.0,65.0,75.0,36.26,7.1,55.0
2023-01-01 20:00:00,3.2,15.4,52.0,74.0,34.78,3.3,51.0
2023-01-01 21:00:00,3.2,19.9,40.0,58.0,32.93,4.3,289.0
2023-01-01 22:00:00,3.6,37.5,14.0,65.0,44.47,7.4,311.0
2023-01-01 23:00:00,3.5,25.0,14.0,93.0,37.73,4.3,302.0
2023-01-02 00:00:00,3.8,30.3,7.0,67.0,37.55,3.6,238.0
2023-01-02 01:00:00,4.1,32.0,6.0,72.0,42.65,3.5,257.0
2023-01-02 02:00:00,3.8,29.3,8.0,73.0,40.42,3.4,259.0
2023-01-02 03:00:00,4.4,31.1,6.0,66.0,40.32,3.4,240.0
2023-01-02 04:00:00,3.8,27.5,8.0,78.0,41.78,3.4,264.0
2023-01-02 05:00:00,3.9,19.8,9.0,84.0,35.78,3.1,236.0
2023-01-02 06:00:00,5.3,25.5,7.0,73.0,40.94,3.8,232.0
2023-01-02 07:00:00,17.2,28.3,4.0,115.0,43.06,4.0,195.0
2023-01-02 08:00:00,39.8,29.1,4.0,117.0,40.05,5.2,198.0
2023-01-02 09:00:00,41.3,28.5,5.0,146.0,20.67,5.8,182.0
2023-01-02 10:00:00,93.7,41.2,5.0,89.0,20.64,5.9,30.0
2023-01-02 11:00:00,31.4,34.5,14.0,134.0,34.53,7.0,82.0
2023-01-02 12:00:00,11.2,23.7,25.0,91.0,21.12,5.3,102.0
2023-01-02 13:00:00,9.4,27.2,32.0,59.0,19.34,7.9,79.0
2023-01-02 14:00:00,7.1,23.5,41.0,72.0,21.79,7.7,88.0
2023-01-02 15:00:00,5.4,19.9,44.0,77.0,17.04,9.2,101.0
2023-01-02 16:00:00,4.9,15.7,41.0,69.0,13.78,8.4,102.0
2023-01-02 17:00:00,4.4,16.4,38.0,59.0,13.58,9.1,94.0
2023-01-02 18:00:00,5.1,25.2,27.0,55.0,14.81,6.1,103.0
2023-01-02 19:00:00,13.9,33.3,17.0,59.0,14.5,6.2,129.0
2023-01-02 20:00:00,24.8,45.2,4.0,60.0,15.87,3.9,241.0
2023-01-02 21:00:00,14.2,38.3,4.0,61.0,13.73,3.6,262.0
2023-01-02 22:00:00,26.3,40.3,4.0,55.0,16.95,3.5,135.0
2023-01-02 23:00:00,54.3,42.0,4.25,76.0,27.79,4.0,239.0
2023-01-03 00:00:00,33.4,38.7,4.5,120.0,31.03,4.3,228.0
2023-01-03 01:00:00,25.5,37.2,4.75,92.0,25.5,5.2,244.0
2023-01-03 02:00:00,14.8,34.4,5.0,98.0,21.69,4.6,258.0
2023-01-03 03:00:00,6.0,32.1,5.0,86.0,19.18,4.5,222.0
2023-01-03 04:00:00,4.7,31.6,5.0,93.0,23.36,4.2,177.0
2023-01-03 05:00:00,4.2,24.0,9.0,99.0,22.45,4.7,210.0
2023-01-03 06:00:00,4.6,21.1,8.0,82.0,19.0,4.8,191.0
2023-01-03 07:00:00,9.4,22.7,7.0,90.0,14.93,4.2,291.0
2023-01-03 08:00:00,28.3,29.2,5.0,98.0,15.56,5.5,274.0
2023-01-03 09:00:00,36.1,31.3,9.0,106.0,18.76,4.3,48.0
2023-01-03 10:00:00,37.7,33.0,9.0,119.0,21.3,8.0,107.0
2023-01-03 11:00:00,31.0,32.2,13.0,155.0,22.71,7.7,100.0
2023-01-03 12:00:00,19.5,27.1,20.0,151.0,22.55,8.4,82.0
2023-01-03 13:00:00,10.8,18.8,28.0,114.0,15.84,9.5,67.0
2023-01-03 14:00:00,7.4,17.5,37.0,92.0,10.86,10.8,57.0
2023-01-03 15:00:00,6.1,16.5,46.0,72.0,12.57,11.3,54.0
2023-01-03 16:00:00,4.7,14.6,50.0,78.0,11.95,10.6,56.0
2023-01-03 17:00:00,3.9,13.9,52.0,62.0,11.61,9.2,106.0
2023-01-03 18:00:00,3.8,23.1,41.0,67.0,11.97,9.0,75.0
2023-01-03 19:00:00,5.6,35.8,16.0,67.0,12.39,8.9,41.0
2023-01-03 20:00:00,4.0,25.4,18.0,73.0,10.93,9.0,45.0
2023-01-03 21:00:00,7.0,34.7,8.0,57.0,9.55,2.9,253.0
2023-01-03 22:00:00,27.3,39.9,4.0,53.0,14.15,3.3,236.0
2023-01-03 23:00:00,30.4,40.5,4.0,66.0,16.95,3.1,187.0
2023-01-04 00:00:00,20.6,39.8,4.0,66.0,14.49,2.6,26.0
2023-01-04 01:00:00,25.7,38.8,4.5,55.0,14.91,4.1,251.0
2023-01-04 02:00:00,11.8,36.7,5.0,57.0,14.55,3.5,250.0
2023-01-04 03:00:00,31.3,41.7,5.0,59.0,32.3,4.1,238.0
2023-01-04 04:00:00,24.0,40.0,5.0,168.0,47.91,4.7,244.0
2023-01-04 05:00:00,5.9,32.0,7.0,158.0,34.1,3.1,254.0
2023-01-04 06:00:00,4.9,29.0,8.0,97.0,23.96,4.2,245.0
2023-01-04 07:00:00,11.9,34.2,5.0,81.0,23.68,5.0,235.0
2023-01-04 08:00:00,20.3,34.8,5.0,98.0,22.26,3.8,242.0
2023-01-04 09:00:00,54.8,36.2,5.0,90.0,20.88,3.4,196.0
2023-01-04 10:00:00,30.5,36.9,11.0,112.0,27.69,4.7,196.0
2023-01-04 11:00:00,20.2,34.2,20.0,114.0,29.22,4.9,50.0
2023-01-04 12:00:00,11.5,25.3,31.0,103.0,23.89,8.5,63.0
2023-01-04 13:00:00,7.3,20.0,43.0,84.0,14.27,8.9,60.0
2023-01-04 14:00:00,5.4,17.1,56.0,69.0,15.25,9.8,46.0
2023-01-04 15:00:00,4.5,15.7,67.0,77.0,17.14,11.1,52.0
2023-01-04 16:00:00,4.0,14.7,67.0,79.0,17.11,11.3,61.0
2023-01-04 17:00:00,4.0,15.1,57.0,74.0,15.64,10.5,80.0
2023-01-04 18:00:00,3.6,18.0,47.0,72.0,12.28,8.7,110.0
2023-01-04 19:00:00,4.1,26.9,32.0,55.0,12.42,6.7,86.0
2023-01-04 20:00:00,4.3,27.4,28.0,62.0,13.36,4.7,86.0
2023-01-04 21:00:00,4.0,28.2,24.0,60.0,14.38,3.0,87.0
2023-01-04 22:00:00,3.6,26.0,23.0,55.0,14.39,3.1,288.0
2023-01-04 23:00:00,3.9,20.8,26.0,56.0,16.83,5.6,43.0
2023-01-05 00:00:00,3.3,20.2,22.0,70.0,16.89157894736842,3.7,292.0
2023-01-05 01:00:00,3.4,26.7,14.0,70.0,16.95315789473684,3.8,265.0
2023-01-05 02:00:00,3.4,25.3,15.0,77.0,17.01473684210526,4.4,248.0
2023-01-05 03:00:00,3.633333333333333,30.8,9.0,68.0,17.076315789473682,3.3,257.0
2023-01-05 04:00:00,3.866666666666666,26.4,12.0,78.0,17.137894736842103,3.9,254.0
2023-01-05 05:00:00,4.1,31.6,6.0,82.0,17.199473684210524,3.4,234.0
2023-01-05 06:00:00,3.5,27.1,9.0,80.0,17.261052631578945,3.0,255.0
2023-01-05 07:00:00,20.9,36.2,5.0,84.0,17.322631578947366,3.4,259.0
2023-01-05 08:00:00,28.3,39.7,4.0,107.0,17.384210526315787,4.3,236.0
2023-01-05 09:00:00,53.8,43.1,6.0,110.0,17.44578947368421,5.5,202.0
2023-01-05 10:00:00,44.6,46.5,9.0,139.0,17.507368421052632,4.7,235.0
2023-01-05 11:00:00,33.8,49.2,18.0,130.0,17.568947368421053,4.3,54.0
2023-01-05 12:00:00,29.2,54.9,22.0,150.0,17.630526315789474,6.3,49.0
2023-01-05 13:00:00,15.6,43.1,38.0,141.0,17.692105263157895,9.4,53.0
2023-01-05 14:00:00,7.9,32.9,55.0,141.0,17.753684210526316,10.8,56.0
2023-01-05 15:00:00,6.1,28.0,66.0,129.0,17.815263157894737,12.7,50.0
2023-01-05 16:00:00,4.8,23.6,72.0,127.0,17.876842105263158,13.2,65.0
2023-01-05 17:00:00,4.1,16.4,61.0,103.0,17.93842105263158,12.4,79.0
2023-01-05 18:00:00,4.0,21.1,51.0,76.0,18.0,8.8,72.0
2023-01-05 19:00:00,3.9,27.8,35.0,70.0,16.0,4.9,91.0
2023-01-05 20:00:00,4.7,32.9,19.0,77.0,17.0,2.0,93.0
2023-01-05 21:00:00,4.5,32.1,14.0,71.0,19.0,0.7,107.0
2023-01-05 22:00:00,3.8,10.7,30.0,65.0,15.0,8.1,115.0
2023-01-05 23:00:00,3.5,7.1,31.0,51.0,12.0,9.5,113.0
2023-01-06 00:00:00,3.6,14.0,22.0,47.0,13.0,4.2,65.0
2023-01-06 01:00:00,4.7,27.0,7.0,53.0,18.0,5.3,358.0
2023-01-06 02:00:00,4.4,25.2,7.0,125.0,17.0,3.2,6.0
2023-01-06 03:00:00,3.6,15.3,12.0,116.0,17.0,3.6,47.0
2023-01-06 04:00:00,3.6,17.1,10.0,86.0,22.5,3.1,30.0
2023-01-06 05:00:00,3.8,14.9,13.0,71.0,28.0,2.7,358.0
2023-01-06 06:00:00,4.0,16.2,11.0,76.0,32.0,4.2,326.0
2023-01-06 07:00:00,10.9,19.9,8.0,73.0,31.0,2.3,271.0
2023-01-06 08:00:00,41.1,32.8,4.0,99.0,32.0,5.8,214.0
2023-01-06 09:00:00,39.2,31.9,4.0,170.0,32.0,7.1,228.0
2023-01-06 10:00:00,25.9,31.4,8.0,169.0,34.0,5.3,206.0
2023-01-06 11:00:00,16.1,25.1,16.0,158.0,49.0,3.2,16.0
2023-01-06 12:00:00,17.7,29.7,20.0,114.0,50.0,4.1,13.0
2023-01-06 13:00:00,20.4,44.6,25.0,112.0,51.0,4.9,18.0
2023-01-06 14:00:00,11.9,41.1,42.0,156.0,74.0,5.3,50.0
2023-01-06 15:00:00,6.5,25.3,57.0,148.0,83.0,6.1,39.0
2023-01-06 16:00:00,5.6,15.8,47.0,116.0,83.0,7.8,42.0
2023-01-06 17:00:00,5.1,15.6,43.0,78.0,62.0,5.3,81.0
2023-01-06 18:00:00,3.9,13.3,39.0,69.0,41.0,6.6,103.0
2023-01-06 19:00:00,4.3,22.0,27.0,58.0,19.0,5.5,104.0
2023-01-06 20:00:00,3.6,18.9,24.0,63.0,19.0,6.6,118.0
2023-01-06 21:00:00,3.6,13.2,26.0,53.0,21.0,7.0,120.0
2023-01-06 22:00:00,3.7,16.9,21.0,43.0,25.0,2.2,145.0
2023-01-06 23:00:00,8.8,38.4,6.0,57.0,28.0,3.3,217.0
2023-01-07 00:00:00,15.4,45.4,4.0,82.0,44.0,2.8,230.0
2023-01-07 01:00:00,15.6,42.2,3.0,124.0,45.0,4.0,230.0
2023-01-07 02:00:00,16.9,34.3,3.0,109.0,34.0,3.0,263.0
2023-01-07 03:00:00,12.6,30.1,2.0,91.0,34.0,2.4,246.0
2023-01-07 04:00:00,13.6,34.9,3.0,82.0,36.0,1.2,247.0
2023-01-07 05:00:00,22.8,34.2,3.0,93.0,39.0,1.9,269.0
2023-01-07 06:00:00,18.1,29.4,3.0,115.0,42.0,2.2,232.0
2023-01-07 07:00:00,10.6,23.3,3.333333333333333,114.0,52.0,1.0,224.0
2023-01-07 08:00:00,29.1,25.1,3.6666666666666665,104.0,53.0,1.7,257.0
2023-01-07 09:00:00,55.8,34.4,4.0,106.0,49.0,1.5,315.0
2023-01-07 10:00:00,63.7,46.3,8.0,142.0,48.0,2.8,25.0
2023-01-07 11:00:00,40.1,47.0,12.0,141.0,48.0,5.7,58.0
2023-01-07 12:00:00,15.9,33.3,24.0,173.0,45.5,5.3,73.0
2023-01-07 13:00:00,9.4,21.0,32.0,122.0,43.0,6.4,86.0
2023-01-07 14:00:00,6.1,14.9,42.0,105.0,42.0,5.6,72.0
2023-01-07 15:00:00,5.1,13.2,47.0,85.0,42.0,8.4,89.0
2023-01-07 16:00:00,4.6,11.0,44.0,75.0,37.0,6.1,58.0
2023-01-07 17:00:00,4.4,15.3,47.0,59.0,32.0,9.7,69.0
2023-01-07 18:00:00,4.1,16.6,39.0,76.0,26.0,9.8,70.0
2023-01-07 19:00:00,3.9,21.5,24.0,68.0,26.0,7.5,73.0
2023-01-07 20:00:00,4.4,24.9,13.0,75.0,25.5,8.1,27.0
2023-01-07 21:00:00,4.2,18.2,15.0,69.0,25.0,7.9,5.0
2023-01-07 22:00:00,3.7,14.9,17.0,63.0,24.5,6.3,54.0
2023-01-07 23:00:00,3.6,19.9,11.0,52.0,24.0,6.2,91.0
2023-01-08 00:00:00,3.5,19.9,11.0,59.0,23.595294117647057,5.8,92.0
2023-01-08 01:00:00,3.8,21.5,9.0,57.0,23.19058823529412,4.7,145.0
2023-01-08 02:00:00,3.5,18.8,12.0,51.0,22.785882352941176,4.8,114.0
2023-01-08 03:00:00,3.5,16.9,12.0,46.0,22.38117647058824,3.6,117.0
2023-01-08 04:00:00,4.3,22.9,8.0,51.0,21.97647058823529,5.3,93.0
2023-01-08 05:00:00,3.4,13.4,16.0,64.0,21.57176470588235,6.1,121.0
2023-01-08 06:00:00,3.3,12.1,18.0,51.0,21.167058823529413,5.7,134.0
2023-01-08 07:00:00,3.3,11.2,19.0,49.0,20.76235294117647,5.4,131.0
2023-01-08 08:00:00,3.5,17.1,14.0,43.0,20.35764705882353,5.5,135.0
2023-01-08 09:00:00,4.1,17.1,15.0,50.0,19.95294117647059,4.1,141.0
2023-01-08 10:00:00,7.7,22.2,13.0,58.0,19.54823529411765,7.4,97.0
2023-01-08 11:00:00,15.2,16.6,11.0,69.5,19.143529411764707,5.75,96.0
2023-01-08 12:00:00,22.7,11.0,9.0,81.0,18.738823529411764,4.1,95.0
2023-01-08 13:00:00,14.9,27.4,14.0,78.5,18.334117647058825,5.4,106.0
2023-01-08 14:00:00,7.2,19.8,24.0,76.0,17.929411764705883,7.1,110.0
2023-01-08 15:00:00,3.9,11.1,33.0,67.0,17.52470588235294,7.2,99.0
2023-01-08 16:00:00,3.5,10.7,34.0,49.0,17.12,6.6,87.0
2023-01-08 17:00:00,3.2,10.6,35.0,44.0,18.05,7.0,97.0
2023-01-08 18:00:00,3.0,14.8,32.0,45.0,23.06,7.7,89.0
2023-01-08 19:00:00,2.8,13.3,31.0,58.0,25.87,9.3,122.0
2023-01-08 20:00:00,2.7,10.5,31.0,56.0,22.68,10.9,109.0
2023-01-08 21:00:00,2.9,15.0,25.0,62.0,23.22,8.8,79.0
